course,clustering_approach,representation_level,focal_strategy,aic_1,aic_2,aic_3,aic_4,aic_5,aic_6,aic_7,aic_8,aic_9,aic_10
oli_intro_bio,iterative,first,paragraph,64042.48,64260.58,64360.87,63753.64,63196.61,64806.80,63640.21,64038.22,64505.24,64436.65
oli_intro_bio,10,first,paragraph,64688.21,64257.91,64533.59,64575.24,64628.00,64867.26,64722.38,64482.28,64586.62,64373.16
oli_intro_bio,50,first,paragraph,62608.95,62736.72,62593.25,62266.43,62390.89,62752.74,63137.46,63022.44,63030.81,62393.88
oli_intro_bio,100,first,paragraph,61441.74,62209.51,61736.96,62062.84,62230.73,61709.71,62314.54,62064.50,61732.61,60888.26
oli_intro_bio,150,first,paragraph,61479.55,61237.72,61468.31,61348.88,61638.30,61554.56,60953.59,61595.51,61088.67,60920.35
oli_intro_bio,200,first,paragraph,60718.31,60848.69,60593.31,61421.53,61087.66,61151.47,61080.56,60078.52,61067.73,61145.20
oli_intro_bio,iterative,second,paragraph,63953.15,64473.59,64698.36,64702.59,64153.09,64096.87,64381.71,64583.59,64160.73,64781.61
oli_intro_bio,10,second,paragraph,64683.72,64623.05,64374.61,64662.12,64755.84,64495.32,64428.40,64744.10,64716.32,64593.23
oli_intro_bio,50,second,paragraph,63286.68,62898.77,62983.33,62822.21,62588.34,62626.13,63097.97,62711.63,63014.83,62253.48
oli_intro_bio,100,second,paragraph,61460.88,61780.92,62032.12,62159.79,62246.44,62128.62,62501.54,61954.22,61827.60,62349.67
oli_intro_bio,150,second,paragraph,61246.61,61570.77,61319.22,61441.66,61347.80,61539.71,61025.15,61353.31,60977.43,61136.71
oli_intro_bio,200,second,paragraph,60313.75,61418.98,60442.04,60417.31,60072.29,60513.05,60701.04,60611.16,60599.49,60628.51
oli_intro_bio,iterative,first,assessment,63964.11,64547.43,64657.89,64872.69,65076.86,64982.35,64424.68,64898.20,65104.58,64840.49
oli_intro_bio,10,first,assessment,64682.52,64721.71,64849.39,64591.00,64688.10,64426.60,65114.67,64618.00,64503.34,64675.47
oli_intro_bio,50,first,assessment,62854.21,62699.62,63175.12,62607.21,63017.04,62802.55,62692.28,62347.46,62274.22,62437.81
oli_intro_bio,100,first,assessment,60859.69,60699.52,61954.94,60935.67,61398.23,61001.62,61476.25,61728.44,61307.17,61103.22
