course,representation,focal_strategy,num_clusters,aic
oli_intro_bio,tf-idf,paragraph,10,64688.21
oli_intro_bio,tf-idf,paragraph,50,62608.95
oli_intro_bio,tf-idf,paragraph,100,61441.74
oli_intro_bio,tf-idf,paragraph,150,61479.55
oli_intro_bio,tf-idf,paragraph,200,60718.31
oli_intro_bio,tf-idf,assessment,10,64682.52
oli_intro_bio,tf-idf,assessment,50,62854.21
oli_intro_bio,tf-idf,assessment,100,60859.69
oli_intro_bio,tf-idf,assessment,150,60097.86
oli_intro_bio,tf-idf,assessment,200,60013.92
oli_gen_chem,tf-idf,paragraph,10,72662.74
oli_gen_chem,tf-idf,paragraph,50,70880.97
oli_gen_chem,tf-idf,paragraph,100,69588.37
oli_gen_chem,tf-idf,paragraph,150,69449.23
oli_gen_chem,tf-idf,paragraph,200,68913.66
oli_gen_chem,tf-idf,assessment,10,72863.75
oli_gen_chem,tf-idf,assessment,50,71007.28
oli_gen_chem,tf-idf,assessment,100,69454.78
oli_gen_chem,tf-idf,assessment,150,68870.6
oli_gen_chem,tf-idf,assessment,200,68697.01
oli_intro_bio,tf-idf,paragraph,10,64257.91
oli_intro_bio,tf-idf,paragraph,50,62736.72
oli_intro_bio,tf-idf,paragraph,100,62209.51
oli_intro_bio,tf-idf,paragraph,150,61237.72
oli_intro_bio,tf-idf,paragraph,200,60848.69
oli_intro_bio,tf-idf,assessment,10,64721.71
oli_intro_bio,tf-idf,assessment,50,62699.62
oli_intro_bio,tf-idf,assessment,100,60699.52
oli_intro_bio,tf-idf,assessment,150,60355.26
oli_intro_bio,tf-idf,assessment,200,59580.37
oli_gen_chem,tf-idf,paragraph,10,72529.23
oli_gen_chem,tf-idf,paragraph,50,71094.2
oli_gen_chem,tf-idf,paragraph,100,69908.54
oli_gen_chem,tf-idf,paragraph,150,69236.24
oli_gen_chem,tf-idf,paragraph,200,68913.14
oli_gen_chem,tf-idf,assessment,10,73109.25
oli_gen_chem,tf-idf,assessment,50,70517.43
oli_gen_chem,tf-idf,assessment,100,69672.34
oli_gen_chem,tf-idf,assessment,150,69978.42
oli_gen_chem,tf-idf,assessment,200,68357.28
oli_intro_bio,tf-idf,paragraph,10,64533.59
oli_intro_bio,tf-idf,paragraph,50,62593.25
oli_intro_bio,tf-idf,paragraph,100,61736.96
oli_intro_bio,tf-idf,paragraph,150,61468.31
oli_intro_bio,tf-idf,paragraph,200,60593.31
oli_intro_bio,tf-idf,assessment,10,64849.39
oli_intro_bio,tf-idf,assessment,50,63175.12
oli_intro_bio,tf-idf,assessment,100,61954.94
