Step ID,Problem Hierarchy,Problem Name,Max Problem View,Step Name,,,Avg Incorrects,Avg Hints,Avg Corrects,% First Attempt Incorrects,% First Attempt Hints,% First Attempt Corrects,Avg Step Duration (sec),Avg Correct Step Duration (sec),Avg Error Step Duration (sec),Total Students,Total Opportunities,KC(Paragraph Based 16 clusters)
89e1da9ec21c051e6aa0db355cc9a961,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,3,q1_DNA_rep_stage_i1 UpdateRadioButton,q1_DNA_rep_stage,_u3_cell_cycle_DIGT_q1_DNA_rep_stage,0.3593,0.0028,1.0306,20.6128,0.2786,79.1086,2.95,0.401,12.6,352,359,dna
d9c8eda44984873314613800ade61b94,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,2,q2_interphase_i1 UpdateRadioButton,q2_interphase,_u3_cell_cycle_DIGT_q2_interphase,0.3547,0,1.0116,22.6744,0,77.3256,17.962,16.617,22.551,341,344,cell
6b16ef96dba124be17eda414daf22b77,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,2,q3_daughter_cells_i1 UpdateRadioButton,q3_daughter_cells,_u3_cell_cycle_DIGT_q3_daughter_cells,0.5081,0,1.0324,32.6861,0,67.3139,21.516,17.58,29.584,309,309,cell
9360701a505ffcee98e7947b61484d3e,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,4,q4_growing_stage_i1 UpdateRadioButton,q4_growing_stage,_u3_cell_cycle_DIGT_q4_growing_stage,1.1786,0,1.0584,49.3506,0,50.6494,20.43,12.128,29.007,304,308,cell
b9ad0c98ab3ae8f8d96e94145692943b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,2,q5_DNA_check_stage_i1 UpdateRadioButton,q5_DNA_check_stage,_u3_cell_cycle_DIGT_q5_DNA_check_stage,0.5051,0,1.0168,24.2424,0,75.7576,18.791,17.933,21.472,296,297,dna
2a02ad24f83a6f005983c29b971b3722,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q10_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q10,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q10,0.4617,0,0.5383,46.1717,0,53.8283,19.928,19.73,20.17,339,431,dna
b3f67104976ad07094eb6170cda69591,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q11_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q11,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q11,0.3996,0,0.6004,39.9558,0,60.0442,19.226,18.463,20.53,364,453,dna
45a729a287def3a467ed26e4207db4ed,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q12_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q12,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q12,0.0333,0,0.9667,3.3333,0,96.6667,18.484,18.266,26.167,360,450,dna
7cc97ee7e532b2bb6649631b69e2cf92,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q13_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q13,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q13,0.1387,0,0.8613,13.8702,0,86.1298,20.338,20.369,20.12,351,447,cell
b1d2024a171f47c118b6da9f150bab69,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q14_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q14,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q14,0.2091,0,0.7909,20.9091,0,79.0909,18.841,18.645,19.583,348,440,cell
bb0f401cf05e86d32412291806ee1458,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q15_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q15,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q15,0.0822,0,0.9178,8.216,0,91.784,20.248,20.061,22.42,343,426,cell
0b15330a9a9d2e77d3373fe1efb6fc87,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q16_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q16,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q16,0.0685,0,0.9315,6.8522,0,93.1478,18.686,18.447,22.146,365,467,cell
8baf92f00631e30367f7911c8fdb06f8,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q17_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q17,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q17,0.3575,0,0.6425,35.7456,0,64.2544,19.263,17.929,21.942,362,456,cell
d565e21111471461fc5e707373e9528b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q18_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q18,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q18,0.1962,0,0.8038,19.6217,0,80.3783,20.229,19.941,21.561,346,423,cell
17030a5c527a45d9c3587f7696e26bfe,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q19_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q19,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q19,0.2757,0,0.7243,27.5701,0,72.4299,19.481,18.81,21.52,354,428,cell
3e8b5e71a603cbecb418b28d03080718,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q1_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q1,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q1,0.0288,0,0.9712,2.8761,0,97.1239,19.805,19.713,22.583,357,452,cell
