Step ID,Problem Hierarchy,Problem Name,Max Problem View,Step Name,Avg Incorrects,Avg Hints,Avg Corrects,% First Attempt Incorrects,% First Attempt Hints,% First Attempt Corrects,Avg Step Duration (sec),Avg Correct Step Duration (sec),Avg Error Step Duration (sec),Total Students,Total Opportunities,KC (new KC model name)
89e1da9ec21c051e6aa0db355cc9a961,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,4,q1_DNA_rep_stage_i1 UpdateRadioButton,0.273,0.0027,1.0243,16.7568,0.2703,82.973,3.259,0.746,15.508,362,370,
d9c8eda44984873314613800ade61b94,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,4,q2_interphase_i1 UpdateRadioButton,0.3928,0,1.0139,25.3482,0,74.6518,17.307,15.851,21.644,354,359,
6b16ef96dba124be17eda414daf22b77,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,4,q3_daughter_cells_i1 UpdateRadioButton,0.6984,0,1.0317,36.8254,0,63.1746,25.045,19.833,33.94,313,315,
9360701a505ffcee98e7947b61484d3e,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,4,q4_growing_stage_i1 UpdateRadioButton,1.1104,0,1.0505,47.3186,0,52.6814,14.892,10.367,19.9,310,317,
b9ad0c98ab3ae8f8d96e94145692943b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",_u3_cell_cycle_DIGT,4,q5_DNA_check_stage_i1 UpdateRadioButton,0.4581,0,1.0097,25.1613,0,74.8387,19.821,17.498,26.641,308,310,
2a02ad24f83a6f005983c29b971b3722,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,5,cells_and_chromosomes_modquiz_pool_q10_i1 UpdateRadioButton,0.419,0,0.581,41.896,0,58.104,17.742,17.591,17.953,265,327,
b3f67104976ad07094eb6170cda69591,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q11_i1 UpdateRadioButton,0.2788,0,0.7212,27.8788,0,72.1212,19.008,18.017,22.308,276,330,
45a729a287def3a467ed26e4207db4ed,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,5,cells_and_chromosomes_modquiz_pool_q12_i1 UpdateRadioButton,0.015,0,0.985,1.497,0,98.503,18.015,18.097,10.444,279,334,
7cc97ee7e532b2bb6649631b69e2cf92,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,5,cells_and_chromosomes_modquiz_pool_q13_i1 UpdateRadioButton,0.0691,0,0.9309,6.9069,0,93.0931,17.891,18.023,15.807,281,333,
b1d2024a171f47c118b6da9f150bab69,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,5,cells_and_chromosomes_modquiz_pool_q14_i1 UpdateRadioButton,0.215,0,0.785,21.4953,0,78.5047,17.96,17.128,21.036,273,321,
