Step ID,Problem Hierarchy,Problem Name,Max Problem View,Step Name,Avg Incorrects,Avg Hints,Avg Corrects,% First Attempt Incorrects,% First Attempt Hints,% First Attempt Corrects,Avg Step Duration (sec),Avg Correct Step Duration (sec),Avg Error Step Duration (sec),Total Students,Total Opportunities,KC (new KC model name)
d83ee4e8c5fd000f2aaaeceecde9cf33,"(sequence) OLI Experiments, (module) DNA Replication",DNA_replication_polymerase,3,DNA_replication_polymerase_q1_DNA_replication_polymerase_a1 UpdateShortAnswer,0,0,1.3743,0,0,100,21.27,21.27,,725,756,
71963f875f59de6132486023406a6da1,"(sequence) OLI Experiments, (module) DNA Replication",DNA_replication_polymerase,3,DNA_replication_polymerase_q2_i1 UpdateRadioButton,0.7654,0,0.9256,62.2191,0,37.7809,85.931,65.634,98.523,693,712,
64afb702af525b8635de7592b3194447,"(sequence) OLI Experiments, (module) DNA Replication",DNA_replication_polymerase,3,DNA_replication_polymerase_q3_i1 UpdateRadioButton,0.1628,0,0.9914,12.6801,0,87.3199,36.613,34.212,53.31,684,694,
a8ebde1a5665720efdee3ef0fc29f5b9,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication01,7,Replication-02_i1 UpdateRadioButton,0.4657,0,1.2721,33.0882,0,66.9118,19.215,13.06,31.663,600,1224,
188925f5aab4fef148fcd39e5fcb1694,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication01,7,Replication-03_i1 UpdateRadioButton,0.1479,0,1.594,13.1536,0,86.8464,19.262,17.709,29.547,600,1224,
2971739dac90e1b97980ce44c97f09a3,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication01,7,Replication-04_i1 UpdateCheckbox,0.2998,0,1.4453,19.7712,0,80.2288,19.276,16.199,31.933,600,1224,
316ca6cee3bae909bd011ed9fb5c3eb0,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication01,7,Replication-05_i1 UpdateRadioButton,0.1324,0,1.6095,9.8856,0,90.1144,19.262,18.006,30.693,600,1224,
4ece2b682654b79c221d825135c22156,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication01,7,Replication-06_i1 UpdateRadioButton,0.2132,0,1.5286,14.3791,0,85.6209,19.262,17.305,30.937,600,1224,
3ff76bab315f38e1ce70902eecf4a3c0,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication_summary,5,Replication-01_i1 UpdateRadioButton,0.4132,0,1.2294,28.8778,0,71.1222,16.364,10.888,29.878,664,1399,
cdad842742b5d0cd507a6be032cf69ed,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication_summary,5,Replication-02_i1 UpdateRadioButton,0.3939,0,1.2516,24.9464,0,75.0536,16.39,12.492,28.117,664,1399,
a9d1278003ee7f185cc0eb11ef48773d,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication_summary,5,Replication-03_i1 UpdateRadioButton,0.0558,0,1.5876,4.6462,0,95.3538,16.377,16.53,13.225,664,1399,
112505a18609972a839e6b25a63b207e,"(sequence) OLI Experiments, (module) DNA Replication",a2_digit-Replication_summary,5,Replication-04_i1 UpdateRadioButton,0.0643,0,1.5797,3.7884,0,96.2116,16.38,16.076,24.026,664,1399,
23173405f8371a4edcf0dc41f58f0696,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication00,3,R08_i1 UpdateRadioButton,0.3481,0,1.0046,23.3588,0,76.6412,43.479,39.44,56.854,654,655,
2d6b4d0019acbd68898ee65f9c68d8d5,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication00,3,R09_i1 UpdateRadioButton,0.1583,0,1.0046,8.9802,0,91.0198,21.153,19.85,34.288,655,657,
9b9d9bc11bfe46857cc2a50528f6a94e,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication00,3,R10_i1 UpdateRadioButton,0.1151,0,1.003,10.9118,0,89.0882,16.746,17.072,14.082,667,669,
3cc1fe3e80509bf8eb1538e66cdfd62e,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication00,3,R11_i1 UpdateRadioButton,0.5371,0,1.0297,38.2789,0,61.7211,53.078,48.644,60.259,669,674,
e2eb94e93efa54f27d6e54ce0ecea4cf,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication00,3,R12_i1 UpdateRadioButton,1.1323,0,0.9059,78.7176,0,21.2824,9.647,1.404,11.875,719,733,
65a61f3adc73b54cf7018e7702a27278,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication_intro,4,DNA_rep_intro_q1_i1 UpdateRadioButton,0.4008,0,1.0483,33.715,0,66.285,4.483,0.401,12.509,753,786,
7bb672dab025600cc6923507e79afca7,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication_intro,5,DNA_rep_intro_q2_i1 UpdateRadioButton,0.4293,0,0.955,39.8458,0,60.1542,36.683,27.245,50.977,740,778,
10f8401efce9baa583bbe22b8424aac6,"(sequence) OLI Experiments, (module) DNA Replication",inline_digit-Replication_intro,5,DNA_rep_intro_q3_i1 UpdateRadioButton,0.4648,0,0.9596,42.9688,0,57.0313,38.967,33.167,46.672,739,768,
a667607e50bd364c57f17200bf53d31b,"(sequence) OLI Experiments, (module) DNA Replication",inline_lagging_strand_synthesis,3,lagging_strand_01_i1 UpdateRadioButton,0.5703,0,1.0081,30.2703,0,69.7297,3.758,0.087,12.214,725,740,
5feb46a4148f25e088c67c28d30329d3,"(sequence) OLI Experiments, (module) DNA Replication",inline_lagging_strand_synthesis,3,lagging_strand_02_i1 UpdateRadioButton,0.3222,0,1.007,20.9205,0,79.0795,19.87,18.687,24.333,712,717,
05fa94a7777cc9cd44f80e2ca9024f83,"(sequence) OLI Experiments, (module) DNA Replication",synthesis2_response,3,synthesis2_response_q1_synthesis2_response_a1 UpdateShortAnswer,0,0,1.5506,0,0,100,11.784,11.784,,696,712,
bbaa603ad9382a1917a7d27ff0d8c3aa,"(sequence) OLI Experiments, (module) DNA Replication",synthesis_response,2,synthesis_response_q1_synthesis_response_a1 UpdateShortAnswer,0,0,1.2462,0,0,100,3.634,3.634,,712,719,
