a2_Amino_Acids1_enz_1b,cluster145
a2_Amino_Acids1_enz_2,cluster112
a2_Amino_Acids1_enz_3,cluster60
a2_Amino_Acids1_enz_4,cluster60
a2_Amino_Acids1_enz_5,cluster225
a2_Amino_Acids1_enz_6r,cluster60
a2_Amino_Acids1_enz_7b,cluster112
a2_Atom_molecules-1_at_q1,cluster250
a2_Atom_molecules-1_at_q2,cluster100
a2_Atom_molecules-1_at_q3,cluster74
a2_Atom_molecules-1_at_q4,cluster56
a2_Atoms1_Atoms1_s1_q1,cluster148
a2_Atoms1_Atoms1_s1_q2,cluster148
a2_Atoms1_Atoms1_s1_q3,cluster11
a2_Atoms1_Atoms1_s1_q4,cluster126
a2_Atoms1_Atoms1_s1_q5,cluster100
a2_atoms_only_q1,cluster148
a2_atoms_only_q2,cluster148
a2_atoms_only_q3,cluster98
a2_atoms_only_q4,cluster86
a2_atoms_only_q6,cluster83
a2_atoms_only_q7,cluster148
a2_bonding_only_bonding_only_s1_q1,cluster126
a2_bonding_only_bonding_only_s1_q2,cluster11
a2_bonding_only_bonding_only_s1_q3,cluster148
a2_Carbohydrates1_enz_10,cluster11
a2_Carbohydrates1_enz_1c,cluster179
a2_Carbohydrates1_enz_2c,cluster185
a2_Carbohydrates1_enz_3c,cluster60
a2_Carbohydrates1_enz_4c,cluster60
a2_Carbohydrates1_enz_5c,cluster60
a2_Carbohydrates1_enz_6,cluster173
a2_Carbohydrates1_enz_7,cluster70
a2_Carbohydrates1_enz_8,cluster60
a2_Carbohydrates1_enz_9,cluster122
a2_digit-DNA-replication_R03,cluster60
a2_digit-DNA-replication_R06,cluster164
a2_digit-DNA-replication_R07,cluster180
a2_digit-DNA-replication_R08,cluster180
a2_digit-DNA-replication_R09,cluster8
a2_digit-DNA-replication_R10,cluster124
a2_digit-DNA-replication_R11,cluster239
a2_digit-DNA-replication_R12,cluster239
a2_digit-DNA-structure01_D01,cluster79
a2_digit-DNA-structure01_D02,cluster164
a2_digit-DNA-structure01_D03,cluster214
a2_digit-DNA-structure01_D04,cluster214
a2_digit-DNA-structure01_D05,cluster173
a2_digit-DNA-structure01_D06,cluster164
a2_digit-DNA-structure01_D07,cluster11
a2_digit-DNA-structure01_D08,cluster173
a2_digit-DNA-structure01_D09,cluster164
a2_digit-DNA-structure01_D10,cluster164
a2_digit-intrometabolism_intro_met_01,cluster219
a2_digit-intrometabolism_intro_met_02,cluster185
a2_digit-intrometabolism_intro_met_03,cluster219
a2_digit-metabolism-regulation_metab-regul-01,cluster185
a2_digit-metabolism-regulation_metab-regul-02,cluster185
a2_digit-metabolism-regulation_metab-regul-03,cluster17
a2_digit-metabolism-regulation_metab-regul-04,cluster98
a2_digit-metabolism-regulation_metab-regul-05,cluster17
a2_digit-metabolism_coupling_meta_coupling_01,cluster60
a2_digit-metabolism_coupling_meta_coupling_02,cluster129
a2_digit-metabolism_coupling_meta_coupling_03,cluster64
a2_digit-metabolism_energy_metab-energy_01,cluster53
a2_digit-metabolism_energy_metab-energy_02,cluster53
a2_digit-metabolism_energy_metab-energy_03,cluster60
a2_digit-metabolism_energy_metab-energy_04,cluster129
a2_digit-metabolism_enom_metab_enom_01,cluster60
a2_digit-metabolism_enom_metab_enom_02,cluster98
